id,title,summary,agency,contact,detail_url,key
1,냉동난자 사용 보조생식술 지원사업,"가임력 보존을 목적으로 냉동한 난자를 임신·출산을 위해 사용할 경우, 보조생식술 비용 일부를 지원하여 임신출산을 지원합니다.",보건복지부 출산정책과,129,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005859&wlfareInfoReldBztpCd=01,WLF00005859
2,임신 사전건강관리 지원사업,"임신 및 출산에 장애가 될 수 있는 건강위험요인의 조기 발견 기회를 제공하고, 임신전 건강관리를 위한 의료.보건학적 지원을 통해 건강한 임신 출산 환경을 조성합니다.",보건복지부 출산정책과,129,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005858&wlfareInfoReldBztpCd=01,WLF00005858
3,연수구 산후조리비용 지원사업,인천광역시 연수구에 거주하는 산모의 건강증진을 도모하고 출산에 따른 경제적 부담을 완화하여 출산 친화적인 환경 조성에 기여, 인천광역시 연수구 보건소 건강증진과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00005855&wlfareInfoReldBztpCd=02,WLF00005855
4,청소년 미혼모 밀착사례관리 '아낌없이주는나무',청소년미혼모가 아이와 함께 건강한 삶을 영위할 수 있는 환경 조성을 도모합니다.,금순한부모상담소,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52015M.do?wlfareInfoId=BOK00000958&wlfareInfoReldBztpCd=03,BOK00000958
5,한부모가족지원사업 '트라이앵글 프로젝트',"한부모·청소년가정의 경제·정서적 안정, 위기 대응, 자녀 양육 자신감 증진을 지원하고, 통합사례관리를 통해 삶의 질 개선 및 자립을 도모합니다.",금순한부모상담소,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52015M.do?wlfareInfoId=BOK00000948&wlfareInfoReldBztpCd=03,BOK00000948
6,표준모자보건수첩 제공,"표준모자보건수첩 보급으로 임신부터 영유아기까지 각종 검사 및 건강관리 안내, 예방접종, 검진(검사) 등 건강기록 유지, 양육에 대한 필수·객관적 정보 제공으로 모성과 영유아의 건강증진을 도모합니다.",보건복지부 출산정책과,129,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001161&wlfareInfoReldBztpCd=01,WLF00001161
7,다둥이 차량렌탈 지원사업,다자녀 출산가정에 나들이 이동수단 서비스를 제공하여 여가활동 및 생활편의를 돕고 출산장려 분위기를 확산하기 위함, 대구광역시 북구 보건소 건강증진과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00002178&wlfareInfoReldBztpCd=02,WLF00002178
8,신용카드사회공헌재단과 함께하는 위기미혼모자 긴급지원,위기상황에 처한 미혼엄마와 아기의 욕구에 기반한 통합적 서비스 제공으로 건강한 일상생활로의 회복 지원,홀트아동복지회,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52015M.do?wlfareInfoId=BOK00000944&wlfareInfoReldBztpCd=03,BOK00000944
9,경기·인천 무료 문자통역 서비스,경기도 및 인천광역시 지역에 거주하는 농난청인 대상 무료 40시간 문자통역 서비스 지원하여 음성언어와 수어를 사용하는 농난청인 누구도 소회되지 않도록 정보 접근권을 보장합니다.,에이유디 사회적협동조합,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52015M.do?wlfareInfoId=BOK00000936&wlfareInfoReldBztpCd=03,BOK00000936
10,2025 하나금융그룹 장애아동청소년 학습보조기구 지원,"푸르메재단에서는 하나금융그룹과 함께 장애아동 및 청소년을 위한 학습 보조기구를 지원함으로써,
학습에 대한 접근성 및 일상생활 편의성을 증진시키고자 합니다.",재단법인 푸르메,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52015M.do?wlfareInfoId=BOK00000955&wlfareInfoReldBztpCd=03,BOK00000955
11,"모성보호육아지원(출산전후휴가(유산ㆍ사산휴가 포함) 급여, 육아휴직등 급여)","출산전후 휴가급여, 육아휴직급여, 난임치료휴가급여 등의 지급을 통해 일과 가정의 양립을 지원하고 모성보호를 도모합니다.",고용노동부 여성고용정책과,1350,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003226&wlfareInfoReldBztpCd=01,WLF00003226
12,전라남도 임산부 친환경농산물 지원사업,* 미래 세대의 건강을 위해 임산부에게 친환경농산물을 공급하여 우리 농산물의 지속적인 소비를 촉진하고 생산농가 활성화 기여, 전라남도 농축산식품국 친환경농업과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00005767&wlfareInfoReldBztpCd=02,WLF00005767
13,전라남도 난임부부 친환경농산물 꾸러미 지원사업,* 난임부부에게 친환경농산물을 공급하여 친환경농산물의 지속적인 소비를 촉진하고 저출산 극복에 기여, 전라남도 농축산식품국 친환경농업과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00005766&wlfareInfoReldBztpCd=02,WLF00005766
14,산후건강관리비용 지원,산모 및 신생아의 건강관리를 증진하고 출산 가정의 경제적 부담을 덜어주기 위하여 산후건강관리비용을 지원함, 서울특별시 강남구 보건소 건강관리과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00002497&wlfareInfoReldBztpCd=02,WLF00002497
15,임신출생축하용품 지원,고창군에 거주하는 임산부와 영유아의 건강 유지·증진 및 출산율 저하에 따른 경제적 부담을 해소, 전북특별자치도 고창군 보건소 건강증진과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00005839&wlfareInfoReldBztpCd=02,WLF00005839
16,출산장려금 지원,"고창군에 거주하는 임산부와 영유아의 건강 유지, 증진 및 출산율 감소에 따른 경제적 부담 해소 ", 전북특별자치도 고창군 보건소 건강증진과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00005837&wlfareInfoReldBztpCd=02,WLF00005837
17,출생축하금지원사업,출산가정에 출생아 순위에 따른 경제적 지원을 통하여 초기 육아 부담을 경감하여 출산 분위기 조성에 기여, 전북특별자치도 남원시 보건소 치매안심과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00005830&wlfareInfoReldBztpCd=02,WLF00005830
18,고용보험 미적용자 출산급여 지원,소득활동을 하고 있으나 고용보험의 '출산전후휴가급여'를 지원받지 못하는 출산여성에게 출산급여를 지원합니다.,고용노동부 여성고용정책과,1350,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000838&wlfareInfoReldBztpCd=01,WLF00000838
19,출산축하용품 지원 사업,출산축하용품을 지원하여 출산가정의 경제적 부담완화 및 출산 축하 분위기 조성으로 출산율 향상에 기여하고자 함, 전북특별자치도 김제시 보건소 건강증진과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00003587&wlfareInfoReldBztpCd=02,WLF00003587
20,출산장려금 지원 사업,"출산율 저하에 적극 대처하고자 출산 가정에 대한 
경제적 지원으로 출산 환경을 조성하고자 함", 전북특별자치도 김제시 보건소 건강증진과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00003586&wlfareInfoReldBztpCd=02,WLF00003586
21,출산장려금 지원,관내 출산가정의 임신.양육의 경제적 부담을 완화하고 출산율을 증가시키고자 함., 전북특별자치도 장수군 보건의료원 의료지원과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00001999&wlfareInfoReldBztpCd=02,WLF00001999
22,산모·신생아 건강관리 본인부담금 지원,"출산가정에 산모신생아 건강관리사를 파견하여 산모의 산후회복과 신생아의 양육을 지원하고, 출산가정의 경제적 부담을 경감", 전북특별자치도 장수군 보건의료원 의료지원과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00001238&wlfareInfoReldBztpCd=02,WLF00001238
23,첫만남이용권,출생 아동에게 200만원 이상의 첫만남 이용권을 지급하여 생애초기 아동양육에 따른 경제적 부담을 경감합니다.,보건복지부 출산정책과,129,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004656&wlfareInfoReldBztpCd=01,WLF00004656
24,청소년산모 임신·출산 의료비 지원,청소년산모에게 임신 및 출산에 필요한 의료비를 지원하여 청소년산모와 태아의 건강증진을 돕습니다.,보건복지부 출산정책과,1566-3232(단축번호4),https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003246&wlfareInfoReldBztpCd=01,WLF00003246
25,셋째아 이상 건강관리비 지원,셋쨰아 이상 출산가정의 경제적 부담 경감, 전북특별자치도 부안군 보건소 건강증진과,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52012M.do?wlfareInfoId=WLF00005805&wlfareInfoReldBztpCd=02,WLF00005805
