title,content
[저출산고령사회위원회] 2024년 저출산 대책 정책 안내 브로셔,"<div class=""content_box"">
</div>"
웰컴키즈 안심보험 전용페이지 안내,"<div class=""content_box"">
<p><br/></p><p font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""><span style=""font-size: 18pt;"">웰컴키즈 안심보험 전용페이지</span></p><p font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""><span style=""font-size: 18pt;""><a href=""https://www.hanwhadirect.com/landing.do?cmpgId=1000001723"" target=""_self"">https://www.hanwhadirect.com/landing.do?cmpgId=1000001723</a></span></p><p font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""><br/></p><p font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""><br/><span style=""font-size: 12pt;"">&lt;웰컴키즈 안심보험&gt;</span><br/><span style=""font-size: 12pt;"">- 가입대상 : 서울 소재 일반, 휴게음식점</span><br/><span style=""font-size: 12pt;"">- 가입비용 : 일반음식점 연간 25,000원으로 가입 가능</span><br/><span style=""font-size: 12pt;"">                (휴게음식점 20,600원)</span><br/><span style=""font-size: 12pt;"">                ※ 일반음식점 영업장 면적 100m2, 재난배상책임보험 가입 기준</span><br/><span style=""font-size: 12pt;"">- 보장범위</span><br/><span style=""font-size: 12pt;"">  · 시설소유관리자 : 대인 1인당 1,000만원 / 1사고당 2,000만원 (자기부담금 10만원)</span><br/><span style=""font-size: 12pt;"">                         대물 1사고당 500만원 (자기부담금 10만원)</span><br/><span style=""font-size: 12pt;"">  · 구내치료비 : 대인 1인당 100만원 / 1사고당 100만원 (자기부담금 없음)</span><br/><span style=""font-size: 12pt;"">  ※ 종업원신체장해보장 특약 포함 (1인당 1,000만원, 1사고당 2,000만원)</span><br/><span style=""font-size: 12pt;"">- 신청방법 : </span><a href=""https://www.hanwhadirect.com/landing.do?cmpgId=1000001723"" target=""_self""><span style=""font-size: 12pt;"">웰컴키즈 안심보험 전용페이지</span></a></p><p font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""><br/></p><p font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""><img alt=""웰컴키즈 안심보험 안내"" src=""https://umppa.seoul.go.kr/contents/commoneditor/20240802103448a0e905a1-7f83-42a8-a4f8-dec16d64c3f5.png"" title=""%EC%9B%B0%EC%BB%B4%ED%82%A4%EC%A6%88%EC%95%88%EC%8B%AC%EB%B3%B4%ED%97%98_%EC%9B%B9%ED%8F%AC%EC%8A%A4%ED%84%B0_%EC%B5%9C%EC%A2%85%EC%88%98%EC%A0%950802_%EC%B6%95%EC%86%8C.png""/><br style=""clear: both;""/><br style=""clear: both;""/> </p>
</div>"
"서울시, 힘든 집안일 도와주는 '서울형 가사서비스' 확대","<div class=""content_box"">
<p>- ｢탄생응원 서울 프로젝트｣ 일환…육아와 가사노동에 지친 임산부‧맞벌이‧다자녀가정 일‧생활 균형 지원<br/>- 대상 6천 가구→1만 가구, 이용횟수 6회→10회 확대해 질 높은 가사서비스 제공<br/>- 서울거주 중위 150% 이하 가구 대상…장애‧질병 등으로 돌봄공백 가정 우선 선정<br/>- 청소, 설거지, 세탁, 쓰레기 배출 등 지원…21일(수)부터 4개월 간 수시신청 접수<br/></p>
</div>"
｢우먼업 3종세트｣로 18만 경력보유여성의 사회진출 이끈다,"<div class=""content_box"">
<p><span font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: "">- 서울시 탄생응원 서울 프로젝트 일환…출산‧육아로 경력 단절된 3040여성 경제활동 복귀 지원</span><br font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""/><span font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: "">- 작년 2,714명 지원…그중 34.6%인 942명 취·창업 성공, 참여자 만족도 98.4%</span><br font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""/><span font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: "">- 올해 2,500명에 ‘구직지원금’ 및 맞춤형 취업지원 서비스도 제공…양육자에 가점 부여</span><br font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""/><span font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: "">- 취업역량 갖춘 경력보유여성 110명에 최대 3개월간 기업 ‘인턴십’ 제공해 취업 연계 지원</span><br font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""/><span font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: "">- 인턴십 참여자 정규직 전환 또는 1년 이상 계약 기업에 300만 원 ‘고용장려금’</span><br font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: ""/><span font-size:="""" gothic"";="""" malgun="""" medium;""="""" style=""font-family: "">- 2.19.(월)~3.8.(금) 우먼업 구직지원금 1차 모집…‘서울우먼업’ 누리집서 신청</span> </p>
</div>"
탄생응원 서울 프로젝트 '서울형 산후조리경비' 서울 거주 산모 누구나 받는다…출산맘 몸‧마음 챙겨,"<div class=""content_box"">
<p>- ‘신청일 기준 서울시 6개월 이상 거주’ 요건 전격 폐지…'24.1.1. 이후 출산 산모부터 적용</p><p>- 소득 기준 없이 서울 거주 모든 산모에 출생아 1인당 100만 원 상당 바우처<br/>- 시행 4개월 만에 1만5천 명 이상 신청…의약품 및 건강식품 구매 사용 최다</p>
</div>"
저출생대책 탄생응원 서울 프로젝트로…'탄생·육아'에 올해 1조8천억 원 투입,"<div class=""content_box"">
<p>- ｢엄마아빠 행복 프로젝트｣ 확장판…예비양육자 포괄, 출산‧육아‧돌봄부터 주거까지<br/>- 둘째아이 출산시 ‘첫째 아이돌봄 서비스’ 최대 100% 지원, ‘산후조리경비’ 거주요건 폐지<br/>- ‘탄생응원기업’ 지정, ESG 평가지표 도입 추진 등 양육친화 일터 확산‧제도화 노력<br/>- 시범사업 인기 ‘서울엄마아빠택시’ ‘등원‧병원동행 돌봄서비스’ 25개 전 자치구 확대<br/>- “저출생 위기 속 탄생과 육아를 응원하는 체감도 높은 정책 통해 서울의 미래 준비”<br/></p>
</div>"
서울형 산후조리경비 신청자격 변경사항 안내,"<div class=""content_box"">
<p 12px;""="""" font-size:="""" malgun;="""" style=""margin: 0px; padding: 0px; font-family: "" 고딕"",="""" 맑은="""">기존에는 서울시에서 6개월 이상 거주한 산모만 신청할 수 있었지만, 이제는 서울시에서 거주하고 있는 산모라면 누구나 신청할 수 있도록 신청자격을 완화했습니다. 신청일 기준 서울시 출생신고와 출산 후 60일 이내 신청 조건은 기존과 동일합니다. 완화된 기준은 2024년 1월 1일 이후 출산한 산모부터 적용됩니다.</p><p 12px;""="""" font-size:="""" malgun;="""" style=""margin: 0px; padding: 0px; font-family: "" 고딕"",="""" 맑은=""""><br style=""margin: 0px; padding: 0px;""/></p><p 12px;""="""" font-size:="""" malgun;="""" style=""margin: 0px; padding: 0px; font-family: "" 고딕"",="""" 맑은=""""><img alt=""서울형 산후조리경비 신청자격 변경사항 안내"" src=""https://umppa.seoul.go.kr/contents/commoneditor/202402021656406481e0da-514d-4a9b-83a3-159407fd77a4.png"" title=""%EC%82%B0%ED%9B%84%EC%A1%B0%EB%A6%AC%EA%B2%BD%EB%B9%84%20%ED%91%9C.png""/> </p><p 12px;""="""" font-size:="""" malgun;="""" style=""margin: 0px; padding: 0px; font-family: "" 고딕"",="""" 맑은=""""><br style=""margin: 0px; padding: 0px;""/></p><p 12px;""="""" font-size:="""" malgun;="""" style=""margin: 0px; padding: 0px; font-family: "" 고딕"",="""" 맑은=""""><a href=""https://umppa.seoul.go.kr/hmpg/hehe/stsu/sest/bzmgPageDetail.do?biz_mng_no=A80C78921A2542E0AE02B04CBC988B22"" target=""_self"">※ 서울형 산후조리비 지원 사업 소개 페이지 바로 가기</a> </p>
</div>"
"서울시, 9.1.부터 모든 산모에 `산후조리경비`...100만원 상당 바우처 지원","<div class=""content_box"">
<p><span style='font-family: ""Malgun Gothic""; font-size: medium;'>서울시, 9.1.부터 모든 산모에 '산후조리경비'…100만원 상당 바우처 지원</span><br style='font-family: ""Malgun Gothic""; font-size: medium;'/><span style='font-family: ""Malgun Gothic""; font-size: medium;'> - 엄마아빠 행복프로젝트 일환…유례없는 저출생 상황 극복 위한 ‘오세훈표 저출생대책’의 하나</span><br style='font-family: ""Malgun Gothic""; font-size: medium;'/><span style='font-family: ""Malgun Gothic""; font-size: medium;'> - 산후 체형관리, 건강식품 구매, 산후우울증 상담 등 몸과 마음건강 회복 지원</span><br style='font-family: ""Malgun Gothic""; font-size: medium;'/><span style='font-family: ""Malgun Gothic""; font-size: medium;'> - 소득 기준 없이 2023년 7월 1일 이후 출산한 산모 대상 지원</span><br style='font-family: ""Malgun Gothic""; font-size: medium;'/><span style='font-family: ""Malgun Gothic""; font-size: medium;'> - 9월1일(금)부터 ‘서울맘케어’ 누리집 온라인 신청 또는 동주민센터 방문 신청 </span> </p>
</div>"
오세훈표 엄마아빠 행복 프로젝트 1년 227만 명 혜택···성과 기반으로 2.0 추진,"<div class=""content_box"">
<p>오세훈표 엄마아빠행복프로젝트 1년, 227만 명 혜택…성과 기반으로 2.0 추진<br/> - 작년 8월 발표한 이후 난임부부, 임산부, 다자녀 등 저출생 대책 연이어 추진<br/> - 총 227만 명 직‧간접 혜택…서울형 키즈카페 등 758개 공간 새롭게 조성･지정<br/> - 저출생 극복의 ‘퍼스트 무버(First Mover)’로서 난자동결 시술비 지원 등 정책 선도<br/> - 4대 분야 28개 사업→5대 분야 55개 사업 ‘2.0’으로 확장, 5년 간 약 2.5조 투자<br/> - ""모든 걸 다 바꾼다는 각오로 쓸 수 있는 정책과 예산 활용해 저출생 극복 총력"" <br/></p>
</div>"
"서울시, 육아휴직한 부모대상 '서울형 육아휴직 장려금' 첫 도입","<div class=""content_box"">
<p><span style=""font-size: 12pt;""><b>서울시, 육아휴직한 부모대상 '서울형 육아휴직 장려금' 첫 도입</b></span></p><p><br/></p><p> - 저출생 극복을 위한 ｢엄마아빠 행복 프로젝트｣의 일환…9.1.(금)부터 신청 시작</p><p> - 1인당 최대 120만원(가구당 최대 240만원) 전국최초 엄마아빠 대상 지원 </p><p> - 육아휴직 급여 6개월 연속 수급한 중위소득 150% 이하 가구 대상 </p><p><br/></p><p>※ 자세한 사항은 붙임문서를 참고 하세요.</p><p><br/></p><p><a href=""https://youtu.be/rVp6HbChEH8?feature=shared"" target=""_self"">https://youtu.be/rVp6HbChEH8?feature=shared</a></p>
</div>"
